,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 05:47:00+00:00,coinbase,BTCEUR,2023-03-07 05:44:00,21020.62,21020.62,21010.02,21010.02,0.0
2023-03-07 05:48:00+00:00,coinbase,BTCEUR,2023-03-07 05:48:00,21006.3,21006.3,21004.92,21005.07,0.45282421
2023-03-07 05:49:00+00:00,coinbase,BTCEUR,2023-03-07 05:49:00,21009.06,21010.69,21009.06,21010.69,0.00092685
2023-03-07 05:50:00+00:00,coinbase,BTCEUR,2023-03-07 05:50:00,21010.46,21012.46,21010.46,21012.46,0.0052226
2023-03-07 05:51:00+00:00,coinbase,BTCEUR,2023-03-07 05:50:00,21010.46,21012.46,21010.46,21012.46,0.0
2023-03-07 05:52:00+00:00,coinbase,BTCEUR,2023-03-07 05:52:00,21011.95,21016.34,21011.95,21016.14,0.00916661
2023-03-07 05:53:00+00:00,coinbase,BTCEUR,2023-03-07 05:52:00,21011.95,21016.34,21011.95,21016.14,0.0
2023-03-07 05:54:00+00:00,coinbase,BTCEUR,2023-03-07 05:54:00,21022.35,21022.35,21021.58,21021.58,0.02992587
2023-03-07 05:55:00+00:00,coinbase,BTCEUR,2023-03-07 05:55:00,21023.45,21023.45,21023.45,21023.45,0.00054204
2023-03-07 05:56:00+00:00,coinbase,BTCEUR,2023-03-07 05:56:00,21027.35,21028.17,21027.35,21027.88,0.00549684
2023-03-07 05:57:00+00:00,coinbase,BTCEUR,2023-03-07 05:57:00,21026.45,21026.45,21023.4,21023.4,0.07874826
2023-03-07 05:58:00+00:00,coinbase,BTCEUR,2023-03-07 05:58:00,21023.34,21023.34,21020.35,21021.91,0.13721107
2023-03-07 05:59:00+00:00,coinbase,BTCEUR,2023-03-07 05:59:00,21020.35,21020.54,21020.29,21020.54,0.39187077
2023-03-07 06:00:00+00:00,coinbase,BTCEUR,2023-03-07 06:00:00,21019.3,21019.3,21017.95,21017.95,0.28874798
2023-03-07 06:01:00+00:00,coinbase,BTCEUR,2023-03-07 06:00:00,21019.3,21019.3,21017.95,21017.95,0.0
2023-03-07 06:02:00+00:00,coinbase,BTCEUR,2023-03-07 06:02:00,21017.83,21020.36,21017.83,21020.36,0.01466177
2023-03-07 06:03:00+00:00,coinbase,BTCEUR,2023-03-07 06:02:00,21017.83,21020.36,21017.83,21020.36,0.0
2023-03-07 06:04:00+00:00,coinbase,BTCEUR,2023-03-07 06:04:00,21022.31,21022.31,21019.71,21019.71,0.00792935
2023-03-07 06:05:00+00:00,coinbase,BTCEUR,2023-03-07 06:05:00,21019.71,21021.5,21019.71,21021.5,0.12714487
